        4629           2          20
Tue Oct 25 03:38:30 2005
nirspec_drtau_glue.dat

Full Nirspec spectrum of drtau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
drtau_coice_dec02.dat 2 0.400000 0.958951
drtau_coice+_dec02.dat 2 0.600000 0.958951
drtau_cop_dec02.dat 3 0.400000 1.26488
drtau_cop+_dec02.dat 3 0.600000 1.23907

     Wavelength     Flux
         um          Jy
 
  4.6492472E+00  1.3894759E+00
  4.6493402E+00  1.5901209E+00
  4.6494331E+00  1.7907699E+00
  4.6495261E+00  2.1260805E+00
  4.6496191E+00  2.3734539E+00
  4.6497121E+00  2.3234260E+00
  4.6498051E+00  1.9967990E+00
  4.6498981E+00  1.6662474E+00
  4.6499910E+00  1.5170689E+00
  4.6500840E+00  1.4187728E+00
  4.6501770E+00  1.3699380E+00
  4.6502700E+00  1.3563207E+00
  4.6503630E+00  1.3466216E+00
  4.6504560E+00  1.3401425E+00
  4.6505489E+00  1.3674808E+00
  4.6506419E+00  1.4439292E+00
  4.6507354E+00  1.5013418E+00
  4.6508284E+00  1.4959711E+00
  4.6509213E+00  1.4483728E+00
  4.6510143E+00  1.3946655E+00
  4.6511073E+00  1.3829942E+00
  4.6512003E+00  1.3529274E+00
  4.6512933E+00  1.3251016E+00
  4.6513863E+00  1.3384743E+00
  4.6514792E+00  1.3470337E+00
  4.6515722E+00  1.3468879E+00
  4.6516652E+00  1.3617700E+00
  4.6517582E+00  1.3839433E+00
  4.6518517E+00  1.3827765E+00
  4.6519446E+00  1.3921604E+00
  4.6520376E+00  1.4016445E+00
  4.6521306E+00  1.4135146E+00
  4.6522236E+00  1.4581015E+00
  4.6523166E+00  1.5180925E+00
  4.6524096E+00  1.5959692E+00
  4.6525025E+00  1.7361153E+00
  4.6525960E+00  1.8059571E+00
  4.6526890E+00  1.8087888E+00
  4.6527820E+00  1.7457775E+00
  4.6528749E+00  1.6743093E+00
  4.6529679E+00  1.6525288E+00
