        4635           2          20
Tue Dec 16 18:49:09 2008
nirspec_fztau_glue.dat

Full Nirspec spectrum of fztau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
fztau_coice_dec08.dat 1 0.700000 1.00785
fztau_coice+_dec08.dat 1 0.700000 1.04816
fztau_cop_dec08.dat 2 0.700000 0.993951
fztau_cop+_dec08.dat 2 0.700000 1.01383

     Wavelength     Flux
         um          Jy
 
  4.6501369E+00  1.4667217E+00
  4.6502299E+00  1.4326959E+00
  4.6503229E+00  1.3973608E+00
  4.6504159E+00  1.3833543E+00
  4.6505089E+00  1.3925592E+00
  4.6506019E+00  1.4194376E+00
  4.6506948E+00  1.4066471E+00
  4.6507878E+00  1.4000945E+00
  4.6508808E+00  1.3676022E+00
  4.6509743E+00  1.3487357E+00
  4.6510673E+00  1.3536836E+00
  4.6511602E+00  1.3649628E+00
  4.6512532E+00  1.3699821E+00
  4.6513462E+00  1.3498406E+00
  4.6514392E+00  1.3433499E+00
  4.6515322E+00  1.3475423E+00
  4.6516252E+00  1.3570235E+00
  4.6517181E+00  1.3548524E+00
  4.6518111E+00  1.3643305E+00
  4.6519041E+00  1.4064052E+00
  4.6519976E+00  1.4588984E+00
  4.6520905E+00  1.5121949E+00
  4.6521835E+00  1.5630538E+00
  4.6522765E+00  1.6178395E+00
  4.6523695E+00  1.7065688E+00
  4.6524625E+00  1.7859823E+00
  4.6525555E+00  1.7998821E+00
  4.6526484E+00  1.7776088E+00
  4.6527419E+00  1.7460431E+00
  4.6528349E+00  1.6940087E+00
  4.6529279E+00  1.6867235E+00
  4.6530209E+00  1.6967714E+00
  4.6531138E+00  1.7256783E+00
  4.6532068E+00  1.7387897E+00
  4.6533003E+00  1.7637793E+00
  4.6533933E+00  1.7806113E+00
  4.6534863E+00  1.7567824E+00
  4.6535792E+00  1.7604849E+00
  4.6536722E+00  1.7619252E+00
  4.6537652E+00  1.7454264E+00
  4.6538587E+00  1.7379576E+00
